term
banter
farce
fun
gag
joke
playfulness
whimsy
wisecrack
wit
amusement
badinage
buffoonery
clowning
comicality
drollery
facetiousness
flippancy
gaiety
happiness
jest
jesting
jocoseness
jocosity
jocularity
joking
funny
meme
A&M
taunt
